,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,FRIES AVE EL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,FROST MS,3,North,,After School All Stars,Youth Services
,FULLBRIGHT AVE EL,4,North,,Youth Development Program,Youth Services
,FULTON COLLEGE PREP (MS),6,North,,YS PLUS,Youth Services
,FULTON COLLEGE PREP (HS),6,North,,ARC,
,GAGE MS,5,East,,Woodcraft Rangers,Youth Services
,GAL KING SCHOOL FOR STEM,1,West,,UCLA,Youth Services
,GARCETTI LA,1,South,Ready-Set-Go!,LA's Best,Youth Services
,GARDEN GROVE EL,4,North,,Youth Development Program,Youth Services
,GARDENA EL,7,South,,Youth Development Program,Youth Services
,GARDENA SH,7,South,,ARC,
,GARDNER ST EL,4,West,,STAR Education,Youth Services
,GARFIELD SH,2,East,,ARC,
,GARVANZA EL T/L MAGNET,2,East,,LA's Best,Youth Services
,GARZA PC,2,East,,STAR Education,Youth Services
,GATES ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,GAULT ST EL,3,North,,LA's Best,Youth Services
,GERMAIN ACAD AA,3,North,,Woodcraft Rangers,Youth Services
,GLASSELL PK STEAM MAGNET,5,West,,LA's Best,Youth Services
,GLEDHILL ST EL,6,North,,LA's Best,Youth Services
,GLEN ALTA EL,2,East,,LA's Best,Youth Services
,GLENFELIZ BLVD EL,5,West,,LA's Best,Youth Services
,GLENWOOD EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,GOMPERS MS,7,South,,YS PLUS,Youth Services
,GRAHAM EL,7,South,,Youth Development Program,Youth Services
,GRANADA EL,3,North,,Woodcraft Rangers,Youth Services
,GRAND VIEW BLVD EL,4,West,Ready-Set-Go!,LA's Best,Youth Services
,GRANT EL,5,West,Ready-Set-Go!,LA's Best,Youth Services
,GRANT SH,6,North,,ARC,
,GRAPE ST EL,7,South,,LA's Best,Youth Services
,GRATTS LA FOR YS,2,East,,LA's Best,Youth Services
,GRIDLEY ST EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,GRIFFIN AVE EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,GRIFFITH JOYNER EL,7,South,,LA's Best,Youth Services
,GRIFFITH MS STEAM MAGNET,2,East,,After School All Stars,Youth Services
,GULF AVE EL,7,South,Ready-Set-Go!,Boys & Girls Clubs of LA Harbor,Youth Services
,HADDON AVE EL,6,North,Ready-Set-Go!,Woodcraft Rangers,Youth Services
,HALE CA,3,North,,After School All Stars,Youth Services
,HALLDALE EL,7,South,,Youth Development Program,Youth Services
,HAMASAKI MED/SCI MAGNET,2,East,,Youth Development Program,Youth Services
,HAMILTON SH,1,West,,UCLA,
,HAMLIN CA,3,North,,Youth Development Program,Youth Services
,HANCOCK PARK EL,4,West,,STAR Education,Youth Services
,HARBOR CITY EL,7,South,,Boys & Girls Clubs of LA Harbor,Youth Services
,HARDING ST EL,6,North,,LA's Best,Youth Services
,HARMONY EL,5,East,,Woodcraft Rangers,Youth Services
,HARRISON ST EL,2,East,Ready-Set-Go!,Youth Development Program,Youth Services
,HARTE PREP MS,1,South,,YS PLUS,Youth Services
,HARVARD EL,5,West,,LA's Best,Youth Services
,HASKELL EL STEAM MAGNET,3,North,,Youth Development Program,Youth Services
,HAWAIIAN AVE EL,7,South,Ready-Set-Go!,LA's Best,Youth Services
,HAWKINS SH C/DAGS,1,South,,EduCare Foundation,
,HAYNES CES,3,North,,tbd,Youth Services
,HAZELTINE AVE EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,HELIOTROPE AVE EL,5,East,Ready-Set-Go!,Youth Development Program,Youth Services
,HENRY MS,3,North,,A World Fit For Kids!,Youth Services
,HERRICK AVE EL,6,North,,LA's Best,Youth Services
,HESBY OAKS LEAD CHTR,4,North,,tbd,Youth Services
,HILLCREST DR EL,1,South,,LA's Best,Youth Services
,HILLSIDE EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,HOBART BLVD EL,5,West,Ready-Set-Go!,LA's Best,Youth Services
