CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1668501,6685,19647336019178,Sheridan St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1669901,6699,19647336019186,Sherman Oaks El CS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1671201,6712,19647336019194,Shirley Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1674001,6740,19647336019202,Short Ave El,Traditional Schools,2021-2022,NA,Youth Services,After School All Stars
1675301,6753,19647336019210,Sierra Park El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1676701,6767,19647336019228,Sierra Vista El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1678101,6781,19647336019236,6th Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1679501,6795,19647336019244,Garcetti LA,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1680801,6808,19647336019251,61st St El,Traditional Schools,2021-2022,NA,Youth Services,Children Youth Family Collaborative
1682201,6822,19647336019269,66th St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1683601,6836,19647336019277,Solano Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1684901,6849,19647336019285,Soto St El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1686301,6863,19647336019293,South Park El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1686701,6867,19647330126581,Bridges School,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1686801,6868,19647330122416,Obama Glbl Prep Acad,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1686901,6869,19647330122143,Knox El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1687001,6870,19647336019301,South Shores El PA Mg,Traditional Schools,2021-2022,NA,Youth Services,NA
1687201,6872,19647330122150,Wisdom El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1687301,6873,19647330122168,Escalante El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1687501,6875,19647336108641,San Miguel El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1687801,6878,19647336107403,Montara Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1688001,6880,19647336114722,Independence El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1688401,6884,19647330126391,Roybal-Allard El,Traditional Schools,2021-2022,NA,Youth Services,A World Fit For Kids!
1688601,6886,19647330122176,Baca Arts Acad,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1689001,6890,19647336019319,Stagg St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1690401,6904,19647336019327,Stanford Ave El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1690501,6905,19647330106930,Stanford Ave PC,Traditional Schools,2021-2022,NA,NA,LA's BEST
1691801,6918,19647336019335,State St El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1692001,6920,19647330109421,Hope St El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1693201,6932,19647336018402,Sterry El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1694501,6945,19647336019343,Stonehurst STEAM Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1695201,6952,19647336019350,Stoner Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1695901,6959,19647336019368,Strathern St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1697301,6973,19647336019376,Sunland El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1698601,6986,19647336019384,Sunny Brae Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1698801,6988,19647336104822,Sunrise El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1700701,7007,19647336019392,Superior St El,Affiliated Charters,2021-2022,NA,Youth Services,NA
1701401,7014,19647336019400,Sylmar El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1702701,7027,19647336019418,Sylvan Park El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1703501,7035,19647336019426,Taper Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1704101,7041,19647336019434,Tarzana El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1706801,7068,19647336019442,Telfair Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1708201,7082,19647336019459,10th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1711001,7110,19647336019467,3rd St El,Traditional Schools,2021-2022,NA,Youth Services,NA
1712301,7123,19647336016810,Bradley Glbl Awr Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1713701,7137,19647336019475,32nd St USC PA Mag,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1715101,7151,19647336019483,Weemes El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1716401,7164,19647336019491,Bright El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1717801,7178,19647336019509,Toland Way El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1719201,7192,19647336019517,Toluca Lake El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1719801,7198,19647336019525,Topanga El CS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1720101,7201,19647336019533,Topeka Dr CAS,Affiliated Charters,2021-2022,NA,Youth Services,NA
1720501,7205,19647336019541,Towne Ave El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1721901,7219,19647336019558,Trinity St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1722001,7220,19647330106922,Maple PC,Traditional Schools,2021-2022,NA,NA,Youth Development Program
1724701,7247,19647336019566,Tulsa St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1726001,7260,19647336019574,Tweedy El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1727401,7274,19647336019582,20th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1728801,7288,19647336019590,28th St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1730101,7301,19647336019608,24th St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1732901,7329,19647336019616,232nd Pl El,Traditional Schools,2021-2022,NA,Youth Services,Gang Alternatives Program
1734201,7342,19647336018147,Meyler St El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1735601,7356,19647336019624,Union Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1737001,7370,19647336019632,Utah St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1738401,7384,19647336019640,Valerio St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1739001,7390,19647331931716,Lake Balboa CP K-12,Traditional Schools,2021-2022,NA,Youth Services,NA
1739701,7397,19647336019657,Valley View El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1739801,7398,19647330122184,Alta California El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1739901,7399,19647330122192,Korenstein El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1740001,7400,19647330122200,Vista del Valle Acad,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1740101,7401,19647330122218,Cardenas El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1740201,7402,19647330122226,Mosk El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1740401,7404,19647330122234,Santana Art Ac,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1740801,7408,19647330126599,Sylmar Ldshp Acad,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1741101,7411,19647336019707,Vanalden Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1741901,7419,19647336019665,Van Deene Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1742201,7422,19647336019673,Van Gogh Chtr,Affiliated Charters,2021-2022,NA,Youth Services,NA
1742501,7425,19647336019681,Van Ness Ave El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of Carson
1743201,7432,19647336120679,Columbus Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1743801,7438,19647336019699,Van Nuys El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1746601,7466,19647336019723,Vena Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1747901,7479,19647336019731,Vermont Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1749301,7493,19647336019749,Vernon City El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Woodcraft Rangers
1750701,7507,19647336019756,Victoria Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1752101,7521,19647336019764,Victory Blvd El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1753401,7534,19647336019772,Vine St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1754801,7548,19647336019780,Vinedale College Prp,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1756201,7562,19647336019798,Vintage El M/S/T Mag,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1756901,7569,19647330135996,BALA,Traditional Schools,2021-2022,NA,Youth Services,NA
1757401,7574,19647330135681,Mann UCLA Comm Sch,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
